model,family,depth,width,use_batchnorm,snip,grasp,synflow,fisher,jacob_cov,grad_norm,naswot,val_loss,val_acc,val_f1_macro,val_mse,epochs_trained,train_time_sec,infer_ms_per_sample,rank_snip,points_snip,rank_grasp,points_grasp,rank_synflow,points_synflow,rank_fisher,points_fisher,rank_jacob_cov,points_jacob_cov,rank_grad_norm,points_grad_norm,rank_naswot,points_naswot,vote_score,vote_rank,stage_untrained_metrics,stage_trained_eval
PLAINCNN_01_d2_w8_bn0,plain_cnn,2,8,False,0.1381291133118793,-0.0041968924138927,45168.32734069824,0.0070798928275848,0.4168669421105561,0.1232378235310357,900.9963335982872,0.5582408855438232,0.8196,0.8158343587158939,0.0270763671875,40,130.1615155999898,0.04416523000109,23.0,2.0,2.0,23.0,24.0,1.0,18.0,7.0,24.0,1.0,22.0,3.0,24.0,1.0,38.0,24,untrained,trained
PLAINCNN_02_d2_w8_bn1,plain_cnn,2,8,True,0.8548782379285521,-0.0563419917129402,155787.1664024353,0.0073151209791831,0.3014557165232486,0.382998439959491,964.805019719848,0.5025341884613037,0.8491,0.8498453185311932,0.0235116821289062,40,120.91073209996102,0.0433952999999746,12.0,13.0,13.0,12.0,21.0,4.0,8.0,17.0,23.0,2.0,10.0,15.0,22.0,3.0,66.0,19,untrained,trained
PLAINCNN_03_d2_w12_bn0,plain_cnn,2,12,False,0.2474680281244218,-0.0271689536632038,49133.45125732422,0.007082391268409,0.2242475049277691,0.1775599447221194,974.6418797657346,0.5008230215072632,0.8436,0.8406811608957785,0.0235140625,40,120.33447269996395,0.0435805800021626,19.0,6.0,8.0,17.0,23.0,2.0,17.0,8.0,16.0,9.0,19.0,6.0,20.0,5.0,53.0,23,untrained,trained
PLAINCNN_04_d2_w12_bn1,plain_cnn,2,12,True,0.9392545372978576,-0.0570071839311948,214001.71005096435,0.0072671306596021,0.2950324484008206,0.4191631070050713,1008.5211517493772,0.3943871223449707,0.8821,0.8806065855249436,0.018182568359375,40,120.20390540000516,0.0432590699987486,10.0,15.0,14.0,11.0,19.0,6.0,11.0,14.0,21.0,4.0,8.0,17.0,19.0,6.0,73.0,16,untrained,trained
PLAINCNN_05_d2_w16_bn0,plain_cnn,2,16,False,0.410027786437422,-0.0394428972620517,77438.84909973145,0.0070587372265663,0.141369028662016,0.2203124313672451,1022.715522823922,0.346424222946167,0.8932,0.8913088169405038,0.0160763763427734,40,119.9009948000312,0.0427662800007965,18.0,7.0,10.0,15.0,22.0,3.0,23.0,2.0,3.0,22.0,16.0,9.0,16.0,9.0,67.0,18,untrained,trained
PLAINCNN_06_d2_w16_bn1,plain_cnn,2,16,True,1.1966362289380108,-0.0511467269437501,305079.5844390869,0.0072992573550436,0.3007134512374662,0.4854182492766213,1044.2695731699307,0.2515760119438171,0.929,0.9281909516483404,0.0111751281738281,40,120.0861440000008,0.0446548199979588,8.0,17.0,12.0,13.0,18.0,7.0,10.0,15.0,22.0,3.0,7.0,18.0,14.0,11.0,84.0,12,untrained,trained
PLAINCNN_07_d3_w8_bn0,plain_cnn,3,8,False,0.1115843776729889,-0.0088103748166759,207465.1619873047,0.0070753040932274,0.1699516622204787,0.1281467510453993,944.0945803459196,0.239779907131195,0.9274,0.9270010660234136,0.0109775314331054,40,120.24169029999756,0.0441176799999084,24.0,1.0,5.0,20.0,20.0,5.0,19.0,6.0,6.0,19.0,21.0,4.0,23.0,2.0,57.0,22,untrained,trained
PLAINCNN_08_d3_w8_bn1,plain_cnn,3,8,True,0.6019724415007967,-0.0482540020035333,1477371.2833969116,0.0073662020535266,0.2820968200055483,0.2566187762300495,971.0723453664576,0.1886615165233612,0.9458,0.9451958105847008,0.0083192230224609,31,93.73855059995547,0.0434495099994819,15.0,10.0,11.0,14.0,15.0,10.0,7.0,18.0,20.0,5.0,14.0,11.0,21.0,4.0,72.0,17,untrained,trained
PLAINCNN_09_d3_w12_bn0,plain_cnn,3,12,False,0.1384787127084564,-0.0061023136470794,368702.4135894776,0.0070715471389149,0.1978164563465886,0.1138269606996829,1009.6830683540754,0.1504111337184906,0.9547,0.9540656369923952,0.0068143356323242,40,120.88826269999844,0.0433391000027768,22.0,3.0,4.0,21.0,17.0,8.0,21.0,4.0,10.0,15.0,24.0,1.0,18.0,7.0,59.0,21,untrained,trained
PLAINCNN_10_d3_w12_bn1,plain_cnn,3,12,True,0.918986487078404,-0.1749644700128616,2212528.639479065,0.0072617868660017,0.2061685794433329,0.3590890314404131,1019.4234705312788,0.0997474665880203,0.9717,0.9716059722465646,0.0044479232788085,40,120.9720775000169,0.0434639799990691,11.0,14.0,17.0,8.0,14.0,11.0,12.0,13.0,14.0,11.0,12.0,13.0,17.0,8.0,78.0,15,untrained,trained
