group,metric,target,spearman_rho,spearman_p,kendall_tau,kendall_p
overall,snip,val_acc,,,,
overall,grasp,val_acc,,,,
overall,synflow,val_acc,,,,
overall,fisher,val_acc,,,,
overall,jacob_cov,val_acc,,,,
overall,grad_norm,val_acc,,,,
overall,naswot,val_acc,,,,
overall,vote_score,val_acc,,,,
overall,snip,val_f1_macro,,,,
overall,grasp,val_f1_macro,,,,
overall,synflow,val_f1_macro,,,,
overall,fisher,val_f1_macro,,,,
overall,jacob_cov,val_f1_macro,,,,
overall,grad_norm,val_f1_macro,,,,
overall,naswot,val_f1_macro,,,,
overall,vote_score,val_f1_macro,,,,
overall,snip,val_mse,,,,
overall,grasp,val_mse,,,,
overall,synflow,val_mse,,,,
overall,fisher,val_mse,,,,
overall,jacob_cov,val_mse,,,,
overall,grad_norm,val_mse,,,,
overall,naswot,val_mse,,,,
overall,vote_score,val_mse,,,,
overall,snip,train_time_sec,,,,
overall,grasp,train_time_sec,,,,
overall,synflow,train_time_sec,,,,
overall,fisher,train_time_sec,,,,
overall,jacob_cov,train_time_sec,,,,
overall,grad_norm,train_time_sec,,,,
overall,naswot,train_time_sec,,,,
overall,vote_score,train_time_sec,,,,
overall,snip,infer_ms_per_sample,,,,
overall,grasp,infer_ms_per_sample,,,,
overall,synflow,infer_ms_per_sample,,,,
overall,fisher,infer_ms_per_sample,,,,
overall,jacob_cov,infer_ms_per_sample,,,,
overall,grad_norm,infer_ms_per_sample,,,,
overall,naswot,infer_ms_per_sample,,,,
overall,vote_score,infer_ms_per_sample,,,,
